year,state,avg_unemployment
1993,Alaska,7.8
1994,Alaska,7.6167
1995,Alaska,7.325
1996,Alaska,7.425
1997,Alaska,6.9333
1998,Alaska,6.325
1999,Alaska,6.4083
2000,Alaska,6.3167
2001,Alaska,6.2833
2002,Alaska,7.1667
2003,Alaska,7.6833
2004,Alaska,7.4167
2005,Alaska,6.9333
2006,Alaska,6.6333
2007,Alaska,6.2583
2008,Alaska,6.475
2009,Alaska,7.9833
2010,Alaska,8.1333
2011,Alaska,7.7333
2012,Alaska,7.25
2013,Alaska,6.9917
2014,Alaska,6.7417
2015,Alaska,6.275
2016,Alaska,6.6
2017,Alaska,6.5083
2018,Alaska,6.0417
2019,Alaska,5.6083
2020,Alaska,8.35
2021,Alaska,6.3833
2022,Alaska,4.2333
2023,Alaska,4.2167
1993,Alabama,7.2417
1994,Alabama,6.175
1995,Alabama,5.8333
1996,Alabama,5.2083
1997,Alabama,4.9333
1998,Alabama,4.4583
1999,Alabama,4.725
2000,Alabama,4.625
2001,Alabama,5.1833
2002,Alabama,5.925
2003,Alabama,5.9833
2004,Alabama,5.575
2005,Alabama,4.4583
2006,Alabama,4
2007,Alabama,4.0417
2008,Alabama,5.8833
2009,Alabama,10.0833
2010,Alabama,10.375
2011,Alabama,9.5833
2012,Alabama,8.1583
2013,Alabama,7.325
2014,Alabama,6.7333
2015,Alabama,6.125
2016,Alabama,5.9083
2017,Alabama,4.5083
2018,Alabama,3.9417
2019,Alabama,3.1833
2020,Alabama,6.4083
2021,Alabama,3.375
2022,Alabama,2.5167
2023,Alabama,2.4917
1993,Arkansas,6.1333
1994,Arkansas,5.4417
1995,Arkansas,4.8667
1996,Arkansas,5.1667
1997,Arkansas,5.1083
1998,Arkansas,5.05
1999,Arkansas,4.5333
2000,Arkansas,4.175
2001,Arkansas,4.7583
2002,Arkansas,5.3333
2003,Arkansas,5.7583
2004,Arkansas,5.5833
2005,Arkansas,5.2583
2006,Arkansas,5.25
2007,Arkansas,5.3917
2008,Arkansas,5.4417
2009,Arkansas,7.725
2010,Arkansas,7.8583
2011,Arkansas,7.9083
2012,Arkansas,7.2667
2013,Arkansas,7.0417
2014,Arkansas,5.9
2015,Arkansas,4.95
2016,Arkansas,3.9833
2017,Arkansas,3.7417
2018,Arkansas,3.6583
2019,Arkansas,3.4917
2020,Arkansas,6.1833
2021,Arkansas,4.0417
2022,Arkansas,3.2083
2023,Arkansas,3.225
1993,Arizona,6.3667
1994,Arizona,6.1917
1995,Arizona,5.3
1996,Arizona,5.4917
1997,Arizona,4.625
1998,Arizona,4.275
1999,Arizona,4.4583
2000,Arizona,3.9833
2001,Arizona,4.725
2002,Arizona,6.1417
2003,Arizona,5.7833
2004,Arizona,4.9667
2005,Arizona,4.6667
2006,Arizona,4.3083
2007,Arizona,3.75
2008,Arizona,5.7917
2009,Arizona,9.6667
2010,Arizona,10.3
2011,Arizona,9.4333
2012,Arizona,8.35
2013,Arizona,7.8167
2014,Arizona,6.7917
2015,Arizona,6.075
2016,Arizona,5.4833
2017,Arizona,4.975
2018,Arizona,4.8083
2019,Arizona,4.8083
2020,Arizona,7.825
2021,Arizona,5.0667
2022,Arizona,3.775
2023,Arizona,3.9083
1993,California,9.5333
1994,California,8.65
1995,California,7.8917
1996,California,7.35
1997,California,6.4083
1998,California,5.9333
1999,California,5.2667
2000,California,4.925
2001,California,5.4667
2002,California,6.7583
2003,California,6.8917
2004,California,6.2167
2005,California,5.3833
2006,California,4.9167
2007,California,5.3083
2008,California,7.3
2009,California,11.5417
2010,California,12.4583
2011,California,11.8917
2012,California,10.525
2013,California,9.0333
2014,California,7.5667
2015,California,6.225
2016,California,5.5167
2017,California,4.8333
2018,California,4.2583
2019,California,4.1
2020,California,10.1917
2021,California,7.325
2022,California,4.275
2023,California,4.7417
1993,Colorado,5.3833
1994,Colorado,4.1417
1995,Colorado,4.025
1996,Colorado,4.1667
1997,Colorado,3.3583
1998,Colorado,3.6167
1999,Colorado,3.0167
2000,Colorado,2.7417
2001,Colorado,3.8167
2002,Colorado,5.6833
2003,Colorado,6.1083
2004,Colorado,5.5667
2005,Colorado,5.075
2006,Colorado,4.275
2007,Colorado,3.7
2008,Colorado,4.875
2009,Colorado,7.875
2010,Colorado,9.1417
2011,Colorado,8.6917
2012,Colorado,8
2013,Colorado,6.75
2014,Colorado,4.9833
2015,Colorado,3.7417
2016,Colorado,3.1333
2017,Colorado,2.6083
2018,Colorado,3.05
2019,Colorado,2.6667
2020,Colorado,6.7833
2021,Colorado,5.4833
2022,Colorado,3.0667
2023,Colorado,3.15
1993,Connecticut,6.4833
1994,Connecticut,5.5417
1995,Connecticut,5.3083
1996,Connecticut,5.2
1997,Connecticut,4.6833
1998,Connecticut,3.2417
1999,Connecticut,2.4583
2000,Connecticut,2.1083
2001,Connecticut,2.875
2002,Connecticut,4.4
2003,Connecticut,5.45
2004,Connecticut,5.0917
2005,Connecticut,4.8
2006,Connecticut,4.425
2007,Connecticut,4.45
2008,Connecticut,5.65
2009,Connecticut,8.325
2010,Connecticut,9.5583
2011,Connecticut,9.0167
2012,Connecticut,8.3583
2013,Connecticut,7.95
2014,Connecticut,6.6167
2015,Connecticut,5.6167
2016,Connecticut,4.8667
2017,Connecticut,4.4167
2018,Connecticut,3.8833
2019,Connecticut,3.5917
2020,Connecticut,8
2021,Connecticut,6.3833
2022,Connecticut,4.0917
2023,Connecticut,3.7083
1993,District of Columbia,8.4
1994,District of Columbia,7.9333
1995,District of Columbia,8.6083
1996,District of Columbia,8.425
1997,District of Columbia,8.1417
1998,District of Columbia,8.3167
1999,District of Columbia,6.575
2000,District of Columbia,5.6917
2001,District of Columbia,6.4667
2002,District of Columbia,6.9833
2003,District of Columbia,7.275
2004,District of Columbia,8.0833
2005,District of Columbia,6.9917
2006,District of Columbia,6.325
2007,District of Columbia,5.95
2008,District of Columbia,6.85
2009,District of Columbia,10
2010,District of Columbia,9.95
2011,District of Columbia,10.1917
2012,District of Columbia,8.975
2013,District of Columbia,8.4333
2014,District of Columbia,7.7083
2015,District of Columbia,6.9167
2016,District of Columbia,6.2333
2017,District of Columbia,6.1
2018,District of Columbia,5.6833
2019,District of Columbia,5.5
2020,District of Columbia,7.8917
2021,District of Columbia,6.875
2022,District of Columbia,4.75
2023,District of Columbia,4.875
1993,Delaware,4.9083
1994,Delaware,4.7
1995,Delaware,4.2667
1996,Delaware,4.95
1997,Delaware,4.0083
1998,Delaware,3.4917
1999,Delaware,3.2833
2000,Delaware,3.6083
2001,Delaware,3.575
2002,Delaware,4.2667
2003,Delaware,4.4667
2004,Delaware,4.3
2005,Delaware,4.5083
2006,Delaware,3.9083
2007,Delaware,3.6083
2008,Delaware,5.0333
2009,Delaware,8.3417
2010,Delaware,8.6583
2011,Delaware,7.6083
2012,Delaware,7.0667
2013,Delaware,6.6083
2014,Delaware,5.6083
2015,Delaware,4.7917
2016,Delaware,4.525
2017,Delaware,4.4667
2018,Delaware,3.7083
2019,Delaware,3.55
2020,Delaware,7.475
2021,Delaware,5.475
2022,Delaware,4.2333
2023,Delaware,3.9833
1993,Florida,7.4
1994,Florida,6.475
1995,Florida,5.6
1996,Florida,5.2833
1997,Florida,4.925
1998,Florida,4.45
1999,Florida,3.9333
2000,Florida,3.7583
2001,Florida,4.425
2002,Florida,4.9583
2003,Florida,4.4667
2004,Florida,3.75
2005,Florida,2.875
2006,Florida,2.4667
2007,Florida,3.3
2008,Florida,5.6917
2009,Florida,9.5583
2010,Florida,10.825
2011,Florida,10
2012,Florida,8.6667
2013,Florida,7.5333
2014,Florida,6.4333
2015,Florida,5.525
2016,Florida,4.9167
2017,Florida,4.3
2018,Florida,3.65
2019,Florida,3.25
2020,Florida,8.1917
2021,Florida,4.6917
2022,Florida,2.9917
2023,Florida,2.9083
1993,Georgia,5.7333
1994,Georgia,5.05
1995,Georgia,4.7333
1996,Georgia,4.6083
1997,Georgia,4.4833
1998,Georgia,4.1833
1999,Georgia,3.8167
2000,Georgia,3.5333
2001,Georgia,4.0917
2002,Georgia,5.3083
2003,Georgia,5.1417
2004,Georgia,5.0833
2005,Georgia,5.6833
2006,Georgia,5.075
2007,Georgia,4.9083
2008,Georgia,6.7833
2009,Georgia,10.4083
2010,Georgia,10.6583
2011,Georgia,10.1583
2012,Georgia,9.0417
2013,Georgia,8.1417
2014,Georgia,7.1417
2015,Georgia,6.075
2016,Georgia,5.4667
2017,Georgia,4.7583
2018,Georgia,4
2019,Georgia,3.575
2020,Georgia,6.5
2021,Georgia,3.9333
2022,Georgia,3.1417
2023,Georgia,3.2
1993,Hawaii,4.3833
1994,Hawaii,5.175
1995,Hawaii,5.525
1996,Hawaii,5.9167
1997,Hawaii,5.925
1998,Hawaii,5.825
1999,Hawaii,5.1917
2000,Hawaii,4.25
2001,Hawaii,4.275
2002,Hawaii,4.05
2003,Hawaii,3.9083
2004,Hawaii,3.2917
2005,Hawaii,2.825
2006,Hawaii,2.55
2007,Hawaii,2.725
2008,Hawaii,4.0333
2009,Hawaii,6.6583
2010,Hawaii,6.825
2011,Hawaii,6.8333
2012,Hawaii,5.9
2013,Hawaii,4.7583
2014,Hawaii,4.2333
2015,Hawaii,3.4167
2016,Hawaii,2.8917
2017,Hawaii,2.2167
2018,Hawaii,2.4083
2019,Hawaii,2.5167
2020,Hawaii,11.7917
2021,Hawaii,5.9583
2022,Hawaii,3.2583
2023,Hawaii,2.9333
1993,Idaho,6.075
1994,Idaho,5.5
1995,Idaho,5.5
1996,Idaho,5.425
1997,Idaho,5.2167
1998,Idaho,5.2333
1999,Idaho,5.0083
2000,Idaho,4.6583
2001,Idaho,5.0833
2002,Idaho,5.6167
2003,Idaho,5.5667
2004,Idaho,4.8667
2005,Idaho,3.9917
